"Countries","Debt ($M)"
"United States ","29,476,402"
"United Kingdom ","3,151,536"
"Germany ","2,711,576"
"France ","3,106,402"
"Japan ","12,783,842"
"Spain ","1,582,453"
"Italy ","2,911,298"
"Portugal ","292,884"
"Greece ","375,138"
"Ireland ","236,667"
"Andorra ","1,316"
"United Arab Emirates ","148,988"
"Afghanistan ","1,490"
"Antigua and Barbuda ","1,390"
"Albania ","12,509"
"Armenia ","8,351"
"Angola ","64,964"
"Argentina ","393,900"
"Austria ","369,361"
"Australia ","947,919"
"Azerbaijan ","14,453"
"Bosnia and Herzegovina ","8,135"
"Barbados ","7,185"
"Bangladesh ","148,250"
"Belgium ","608,255"
"Burkina Faso ","9,520"
"Bulgaria ","20,377"
"Bahrain ","49,630"
"Burundi ","2,036"
"Benin ","8,901"
"Brunei ","352"
"Bolivia ","35,707"
"Brazil ","1,652,945"
"Bahamas ","10,991"
"Bhutan ","3,297"
"Botswana ","3,902"
"Belarus ","29,067"
"Belize ","1,997"
"Canada ","2,280,863"
"Democratic Republic of the Congo ","8,121"
"Central African Republic ","1,230"
"Republic of the Congo ","13,092"
"Switzerland ","331,744"
"Côte d'Ivoire ","39,751"
"Chile ","114,207"
"Cameroon ","21,236"
"China ","13,954,611"
"Colombia ","203,981"
"Costa Rica ","43,608"
"Cabo Verde ","3,019"
"Cyprus ","24,625"
"Czechia ","130,865"
"Djibouti ","1,382"
"Denmark ","119,179"
"Dominica ","678"
"Dominican Republic ","59,722"
"Algeria ","102,486"
"Ecuador ","66,117"
"Estonia ","6,544"
"Egypt ","420,739"
"Eritrea ","3,794"
"Ethiopia ","53,395"
"Finland ","205,080"
"Fiji ","4,181"
"Federated States of Micronesia ","79"
"Gabon ","13,313"
"Grenada ","745"
"Georgia ","9,254"
"Ghana ","63,010"
"The Gambia ","1,791"
"Guinea ","6,567"
"Equatorial Guinea ","5,229"
"Guatemala ","26,458"
"Guinea-Bissau ","1,361"
"Guyana ","3,311"
"Hong Kong ","7,292"
"Honduras ","14,234"
"Croatia ","48,511"
"Haiti ","5,136"
"Hungary ","128,285"
"Indonesia ","526,649"
"Israel ","291,992"
"India ","2,667,809"
"Iraq ","122,192"
"Iran ","122,672"
"Iceland ","19,312"
"Jamaica ","14,107"
"Jordan ","41,628"
"Kenya ","78,799"
"Kyrgyzstan ","5,202"
"Cambodia ","9,545"
"Kiribati ","39"
"Comoros ","326"
"Saint Kitts and Nevis ","602"
"South Korea ","929,584"
"Kuwait ","11,862"
"Kazakhstan ","53,053"
"Laos ","17,117"
"Lebanon ","36,884"
"Saint Lucia ","1,777"
"Sri Lanka ","90,974"
"Liberia ","1,869"
"Lesotho ","1,436"
"Lithuania ","27,899"
"Luxembourg ","20,242"
"Latvia ","17,569"
"Libya ","16,161"
"Morocco ","98,493"
"Moldova ","4,831"
"Montenegro ","4,348"
"Madagascar ","8,681"
"Marshall Islands ","51"
"North Macedonia ","7,389"
"Mali ","9,962"
"Myanmar ","31,914"
"Mongolia ","13,875"
"Mauritania ","5,037"
"Malta ","9,481"
"Mauritius ","11,140"
"Maldives ","5,768"
"Malawi ","7,679"
"Mexico ","792,300"
"Malaysia ","258,554"
"Mozambique ","16,913"
"Namibia ","8,799"
"Niger ","7,661"
"Nigeria ","181,486"
"Nicaragua ","6,658"
"Netherlands ","505,508"
"Norway ","209,371"
"Nepal ","15,984"
"Nauru ","36"
"New Zealand ","91,046"
"Oman ","46,037"
"Panama ","37,166"
"Peru ","80,895"
"Papua New Guinea ","11,609"
"Philippines ","232,530"
"Pakistan ","256,161"
"Poland ","340,193"
"State of Palestine ","11,211"
"Paraguay ","14,982"
"Qatar ","104,945"
"Romania ","147,084"
"Serbia ","35,488"
"Russia ","302,218"
"Rwanda ","7,368"
"Saudi Arabia ","250,128"
"Solomon Islands ","237"
"Seychelles ","1,061"
"Sudan ","65,274"
"Sweden ","185,090"
"Singapore ","634,163"
"Slovenia ","43,430"
"Slovakia ","66,738"
"Sierra Leone ","3,894"
"San Marino ","1,511"
"Senegal ","20,221"
"Suriname ","3,492"
"South Sudan ","1,732"
"Sao Tome and Principe ","388"
"El Salvador ","23,690"
"Syria ","16,835"
"Eswatini ","1,990"
"Chad ","6,598"
"Togo ","5,374"
"Thailand ","291,981"
"Tajikistan ","3,793"
"Timor-Leste ","193"
"Turkmenistan ","6,490"
"Tunisia ","36,984"
"Tonga ","223"
"Türkiye ","282,326"
"Trinidad and Tobago ","14,527"
"Tuvalu ","5"
"Taiwan ","233,778"
"Tanzania ","29,444"
"Ukraine ","123,766"
"Uganda ","21,745"
"Uruguay ","43,851"
"Uzbekistan ","24,628"
"Saint Vincent and the Grenadines ","822"
"Venezuela ","30,110"
"Viet Nam ","145,342"
"Vanuatu ","484"
"Samoa ","364"
"Yemen ","18,092"
"South Africa ","288,114"
"Zambia ","24,538"
"Zimbabwe ","1,905,213"
